iter	Passed	Remaining
142	856	1539
143	862	1533
144	866	1524
145	872	1518
146	876	1508
147	882	1502
148	888	1496
149	894	1490
150	900	1484
151	904	1475
152	910	1469
153	916	1463
154	924	1461
155	931	1456
156	938	1453
157	946	1450
158	953	1444
159	959	1438
160	965	1433
161	971	1427
162	978	1422
163	985	1418
164	992	1413
165	998	1407
166	1004	1400
167	1010	1395
168	1016	1389
169	1022	1383
170	1028	1377
171	1034	1371
172	1040	1365
173	1046	1359
174	1052	1353
175	1058	1347
176	1064	1341
177	1070	1334
178	1076	1328
179	1082	1322
180	1088	1316
181	1092	1308
182	1098	1302
183	1104	1296
184	1110	1290
185	1116	1284
186	1122	1278
187	1127	1271
188	1134	1266
189	1141	1261
190	1147	1255
191	1157	1253
192	1166	1250
193	1169	1241
194	1173	1233
195	1182	1230
196	1192	1228
197	1201	1225
198	1208	1220
199	1215	1215
200	1221	1209
201	1226	1202
202	1232	1196
203	1238	1190
204	1244	1183
205	1249	1177
206	1255	1170
207	1261	1164
208	1265	1156
209	1268	1148
210	1274	1141
211	1278	1133
212	1284	1127
213	1290	1121
214	1296	1115
215	1302	1109
216	1309	1103
217	1315	1097
218	1321	1092
219	1329	1087
220	1334	1081
221	1341	1075
222	1347	1069
223	1353	1063
224	1359	1057
225	1365	1051
226	1371	1045
227	1377	1039
228	1383	1032
229	1389	1026
230	1391	1017
231	1394	1010
232	1400	1003
233	1402	994
234	1408	988
235	1414	982
236	1420	976
237	1426	970
238	1432	964
239	1438	958
240	1444	952
241	1450	946
242	1456	941
243	1462	934
244	1468	929
245	1472	921
246	1478	915
247	1484	909
248	1490	903
249	1496	897
250	1504	892
251	1510	886
252	1516	881
253	1523	875
254	1528	869
255	1535	863
256	1541	857
257	1545	850
258	1551	844
259	1557	838
260	1563	832
261	1570	826
262	1575	820
263	1582	815
264	1588	808
265	1593	802
266	1599	797
267	1603	789
268	1609	783
269	1615	777
270	1621	771
271	1628	766
272	1633	760
273	1639	754
274	1646	748
275	1652	742
276	1658	736
277	1664	730
278	1670	724
279	1678	719
280	1684	713
281	1690	707
282	1697	701
283	1703	695
284	1709	689
285	1715	683
286	1721	677
287	1727	671
288	1733	665
289	1735	658
290	1741	652
291	1747	646
292	1752	640
293	1758	634
294	1764	628
295	1770	622
296	1776	616
297	1782	610
298	1788	604
299	1794	598
300	1800	592
301	1806	586
302	1812	580
303	1818	574
304	1823	568
305	1829	562
306	1835	556
307	1841	550
308	1847	544
309	1853	538
310	1860	532
311	1866	526
312	1874	520
313	1880	514
314	1886	509
315	1892	503
316	1898	497
317	1904	491
318	1912	485
319	1919	479
320	1927	474
321	1935	468
322	1941	462
323	1945	456
324	1952	450
325	1958	444
326	1964	438
327	1968	432
328	1974	426
329	1980	420
330	1986	414
331	1992	408
332	1998	402
333	2004	396
334	2010	390
335	2016	384
336	2022	378
337	2028	372
338	2034	366
339	2041	360
340	2049	354
341	2055	348
342	2058	342
343	2065	336
344	2070	330
345	2077	324
346	2083	318
347	2089	312
348	2095	306
349	2101	300
350	2107	294
351	2113	288
352	2119	282
353	2125	276
354	2131	270
355	2137	264
356	2143	258
357	2149	252
358	2155	246
359	2160	240
360	2164	233
361	2171	227
362	2177	221
363	2183	215
364	2189	209
365	2191	203
366	2197	197
367	2203	191
368	2207	185
369	2210	179
370	2215	173
371	2222	167
372	2228	161
373	2236	155
374	2238	149
375	2240	142
376	2246	137
377	2252	131
378	2258	125
379	2264	119
380	2270	113
381	2276	107
382	2282	101
383	2288	95
384	2294	89
385	2300	83
386	2306	77
387	2312	71
388	2318	65
389	2324	59
390	2330	53
391	2334	47
392	2340	41
393	2345	35
394	2351	29
395	2357	23
396	2363	17
397	2369	11
398	2375	5
399	2378	0
