iter	Logloss
0	0.6576986512
1	0.623463148
2	0.600797581
3	0.5760930185
4	0.5565749964
5	0.5327687163
6	0.5160053958
7	0.4918526875
8	0.471091245
9	0.4565567949
10	0.444074942
11	0.4328959314
12	0.4020611242
13	0.3846937608
14	0.3808299551
15	0.3786544759
16	0.363516141
17	0.3581137153
18	0.3478842611
19	0.3477590562
20	0.3441931251
21	0.3435801714
22	0.3422726972
23	0.3406472489
24	0.329321256
25	0.3277782114
26	0.3264412305
27	0.322247103
28	0.3205526354
29	0.3119599621
30	0.3098728098
31	0.3061158736
32	0.2924573216
33	0.2883533405
34	0.2840790053
35	0.2793038584
36	0.2787711223
37	0.2775582726
38	0.2768262564
39	0.2743486737
40	0.2743129547
41	0.2725187544
42	0.2723279603
43	0.2722292656
44	0.2680268333
45	0.2617302866
46	0.260515293
47	0.2594168198
48	0.2593993789
49	0.2525728832
50	0.2471899318
51	0.2414457327
52	0.2412454087
53	0.2406777763
54	0.238368733
55	0.2378413645
56	0.2349252046
57	0.2347719618
58	0.2340738821
59	0.2322056763
60	0.2313930793
61	0.2313219677
62	0.2306120765
63	0.2297742578
64	0.2260362759
65	0.225779316
66	0.2257063329
67	0.2257037352
68	0.225691093
69	0.2248881203
70	0.2236754513
71	0.2236734062
72	0.2230184604
73	0.2229480285
74	0.2228223963
75	0.2219867635
76	0.2211571325
77	0.2202570231
78	0.2198907475
79	0.2193515678
80	0.2192340701
81	0.2189991773
82	0.2187519914
83	0.2181102799
84	0.2181093947
85	0.2159887459
86	0.2153762297
87	0.214208849
88	0.2141505309
89	0.2114854898
90	0.2100831227
91	0.2093457483
92	0.2092162411
93	0.2077976131
94	0.2043085732
95	0.2042988437
96	0.2042048242
97	0.2038615785
98	0.2037725429
99	0.1994603371
100	0.199240919
101	0.1970938161
102	0.1958307747
103	0.1934852197
104	0.193284197
105	0.1929026323
106	0.1920574298
107	0.1915231675
108	0.1914256975
109	0.1911631997
110	0.190153779
111	0.190153568
112	0.189886925
113	0.1895393344
114	0.1879224976
115	0.186789117
116	0.1861120584
117	0.1856469558
118	0.1817063905
119	0.1808165648
120	0.1802151537
121	0.1789270218
122	0.1769541665
123	0.1758314866
124	0.1756887436
125	0.174368784
126	0.1742115331
127	0.1735368082
128	0.1725981828
129	0.1721559565
130	0.1714403288
131	0.1713942775
132	0.1698297764
133	0.1693492948
134	0.1689170941
135	0.1658623107
136	0.1640243832
